province,year,track,university,major,min_score,min_rank,batch,admission_count,subject_requirement,tuition,notes
广东,2025,历史,哈尔滨金融学院,专业组 203,522,41150,本科批,6,历史,0,院校代码:10245;专业组:203;计划数:6
广东,2025,历史,复旦大学,专业组 205,661,88,本科批,24,历史,0,院校代码:10246;专业组:205;计划数:24
广东,2025,历史,同济大学,专业组 207,637,647,本科批,9,历史,0,院校代码:10247;专业组:207;计划数:9
广东,2025,历史,上海交通大学,专业组 205,663,63,本科批,2,历史,0,院校代码:10248;专业组:205;计划数:2
广东,2025,历史,华东理工大学,专业组 207,600,5092,本科批,6,历史,0,院校代码:10251;专业组:207;计划数:6
广东,2025,历史,上海理工大学,专业组 205,581,10679,本科批,6,历史,0,院校代码:10252;专业组:205;计划数:6
广东,2025,历史,上海理工大学(中外合作办学),专业组 206,564,17463,本科批,2,历史,0,院校代码:10252;专业组:206;计划数:2
广东,2025,历史,上海海事大学,专业组 204,576,12607,本科批,20,历史,0,院校代码:10254;专业组:204;计划数:20
广东,2025,历史,东华大学,专业组 210,602,4811,本科批,8,历史,0,院校代码:10255;专业组:210;计划数:8
广东,2025,历史,上海海洋大学,专业组 206,577,11958,本科批,9,历史,0,院校代码:10264;专业组:206;计划数:9
